id,body,date,amount,sender,recipient_name,recipient_phone,fee,new_balance,transaction_type
1,"TxId: 17818959211. Your payment of 2,000 RWF to Samuel Carter 14965 has been completed at 2024-05-11 18:48:42. Your new balance: 38,400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-11 16:48:42",2000,"unknown sender","samuel carter",14965,0,38400,"Payment to Code Holder"
2,"You have received 2000 RWF from Jane Smith (*********013) on your mobile money account at 2024-05-10 16:30:51. Message from sender: . Your new balance:2000 RWF. Financial Transaction Id: 76662021700.","2024-05-10 14:30:51",2000,"jane smith",unknown,N/A,0,2000,"Incoming Money"
3,"*165*S*1000 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-05-12 03:47:33 . Fee was: 20 RWF. New balance: 27280 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-12 01:47:33",1000,"unknown sender","samuel carter",250790777777,20,27280,"Transfer to Mobile"
4,"*162*TxId:13913173274*S*Your payment of 2000 RWF to Airtime with token  has been completed at 2024-05-12 11:41:28. Fee was 0 RWF. Your new balance: 25280 RWF . Message: - -. *EN#","2024-05-12 09:41:28",2000,"unknown sender","airtime with token  has been completed at",2024,0,25280,"Payment to Code Holder"
5,"TxId: 45434420466. Your payment of 10,900 RWF to Jane Smith 59543 has been completed at 2024-05-12 13:26:13. Your new balance: 14,380 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-12 11:26:13",10900,"unknown sender","jane smith",59543,0,14380,"Payment to Code Holder"
6,"TxId: 82113964658. Your payment of 3,500 RWF to Alex Doe 43810 has been completed at 2024-05-12 13:34:25. Your new balance: 10,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-12 11:34:25",3500,"unknown sender","alex doe",43810,0,10880,"Payment to Code Holder"
7,"TxId: 26614842768. Your payment of 1,000 RWF to Robert Brown 41193 has been completed at 2024-05-12 17:58:15. Your new balance: 9,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-12 15:58:15",1000,"unknown sender","robert brown",41193,0,9880,"Payment to Code Holder"
8,"TxId: 70497610538. Your payment of 5,000 RWF to Linda Green 75028 has been completed at 2024-05-12 18:08:58. Your new balance: 4,880 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-12 16:08:58",5000,"unknown sender","linda green",75028,0,4880,"Payment to Code Holder"
9,"*165*S*1700 RWF transferred to Samuel Carter (250788999999) from 36521838 at 2024-05-12 19:23:50 . Fee was: 100 RWF. New balance: 3080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-12 17:23:50",1700,"unknown sender","samuel carter",250788999999,100,3080,"Transfer to Mobile"
10,"*165*S*2000 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-05-12 20:49:30 . Fee was: 100 RWF. New balance: 980 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-12 18:49:30",2000,"unknown sender","alex doe",250791666666,100,980,"Transfer to Mobile"
